03/28 12:06:08 PM | layer[0]	loss_knn:1.09	loss_kmeans:1.30	loss_random:1.22
03/28 12:06:09 PM | layer[1]	loss_knn:1.08	loss_kmeans:1.31	loss_random:1.15
03/28 12:06:09 PM | layer[2]	loss_knn:1.03	loss_kmeans:1.12	loss_random:1.04
03/28 12:06:10 PM | layer[3]	loss_knn:1.04	loss_kmeans:1.21	loss_random:1.06
03/28 12:06:13 PM | layer[4]	loss_knn:1.02	loss_kmeans:1.08	loss_random:1.03
03/28 12:06:18 PM | layer[5]	loss_knn:1.02	loss_kmeans:1.11	loss_random:1.03
03/28 12:06:24 PM | layer[6]	loss_knn:1.01	loss_kmeans:1.07	loss_random:1.02
03/28 12:06:44 PM | layer[7]	loss_knn:1.00	loss_kmeans:1.01	loss_random:1.00
04/18 09:34:39 PM | layer[0]	loss_knn:4.433106	loss_kmeans:0.537509	loss_random:0.743065
04/18 09:34:39 PM | layer[1]	loss_knn:5.094089	loss_kmeans:1.209627	loss_random:1.871514
04/18 09:34:40 PM | layer[2]	loss_knn:5.734051	loss_kmeans:3.087915	loss_random:4.071057
04/18 09:34:42 PM | layer[3]	loss_knn:5.769339	loss_kmeans:2.847960	loss_random:4.180470
04/18 09:34:47 PM | layer[4]	loss_knn:6.399683	loss_kmeans:4.482750	loss_random:4.592144
04/18 09:34:55 PM | layer[5]	loss_knn:6.783141	loss_kmeans:4.456028	loss_random:4.999765
04/18 09:35:04 PM | layer[6]	loss_knn:7.035501	loss_kmeans:4.538790	loss_random:5.615785
04/18 09:36:33 PM | layer[0]	loss_knn:16129.077148	loss_kmeans:16129.077148	loss_random:16129.077148
04/18 09:36:33 PM | layer[1]	loss_knn:16129.081055	loss_kmeans:16129.081055	loss_random:16129.081055
04/18 09:36:35 PM | layer[2]	loss_knn:65025.023438	loss_kmeans:65025.023438	loss_random:65025.023438
04/18 09:36:36 PM | layer[3]	loss_knn:65025.039062	loss_kmeans:65025.039062	loss_random:65025.039062
04/18 09:37:28 PM | layer[0]	loss_knn:16129.077148	loss_kmeans:16129.077148	loss_random:16129.077148
04/18 09:37:28 PM | layer[1]	loss_knn:16129.081055	loss_kmeans:16129.081055	loss_random:16129.081055
04/18 09:39:10 PM | layer[0]	loss_knn:9.078281	loss_kmeans:9.078281	loss_random:9.078281
04/18 09:39:11 PM | layer[1]	loss_knn:9.080780	loss_kmeans:9.080780	loss_random:9.080780
04/18 09:39:12 PM | layer[2]	loss_knn:9.025153	loss_kmeans:9.025153	loss_random:9.025153
04/18 09:40:29 PM | layer[0]	loss_knn:1.093700	loss_kmeans:1.297040	loss_random:1.198597
04/18 09:40:29 PM | layer[1]	loss_knn:1.083939	loss_kmeans:1.308933	loss_random:1.109897
04/18 09:40:31 PM | layer[2]	loss_knn:1.030458	loss_kmeans:1.119813	loss_random:1.050622
04/18 09:40:32 PM | layer[3]	loss_knn:1.044234	loss_kmeans:1.210086	loss_random:1.060397
04/18 09:40:45 PM | layer[0]	loss_knn:16129.077148	loss_kmeans:16129.077148	loss_random:16129.077148
04/18 09:40:46 PM | layer[1]	loss_knn:16129.081055	loss_kmeans:16129.081055	loss_random:16129.081055
04/18 09:40:47 PM | layer[2]	loss_knn:65025.023438	loss_kmeans:65025.023438	loss_random:65025.023438
04/18 09:40:49 PM | layer[3]	loss_knn:65025.039062	loss_kmeans:65025.039062	loss_random:65025.039062
04/18 09:41:10 PM | layer[0]	loss_knn:16129.0771484375	loss_kmeans:16129.0771484375	loss_random:16129.0771484375
04/18 09:41:11 PM | layer[1]	loss_knn:16129.0810546875	loss_kmeans:16129.0810546875	loss_random:16129.0810546875
04/18 09:41:12 PM | layer[2]	loss_knn:65025.0234375000	loss_kmeans:65025.0234375000	loss_random:65025.0234375000
04/18 09:41:14 PM | layer[3]	loss_knn:65025.0390625000	loss_kmeans:65025.0390625000	loss_random:65025.0390625000
04/18 09:41:20 PM | layer[4]	loss_knn:261121.0000000000	loss_kmeans:261121.0000000000	loss_random:261121.0000000000
04/18 09:41:37 PM | layer[0]	loss_knn:15.909651	loss_kmeans:31.289341	loss_random:27.394634
04/18 09:41:38 PM | layer[1]	loss_knn:23.272346	loss_kmeans:38.226978	loss_random:33.627342
04/18 09:41:39 PM | layer[2]	loss_knn:21.479240	loss_kmeans:24.997431	loss_random:25.338850
04/18 09:41:41 PM | layer[3]	loss_knn:29.906637	loss_kmeans:34.100677	loss_random:36.873077
04/18 09:43:10 PM | layer[0]	loss_knn:15.909651	loss_kmeans:31.289341	loss_random:22.515381
04/18 09:43:11 PM | layer[1]	loss_knn:23.272346	loss_kmeans:38.226978	loss_random:32.947990
04/18 09:43:12 PM | layer[2]	loss_knn:21.479240	loss_kmeans:24.997431	loss_random:25.964931
04/18 09:43:14 PM | layer[3]	loss_knn:29.906637	loss_kmeans:34.100677	loss_random:36.461407
04/18 09:43:19 PM | layer[4]	loss_knn:21.054398	loss_kmeans:27.901051	loss_random:24.483700
04/18 09:43:28 PM | layer[5]	loss_knn:22.878508	loss_kmeans:27.923698	loss_random:26.405870
04/18 09:43:36 PM | layer[6]	loss_knn:20.064390	loss_kmeans:25.251991	loss_random:22.754620
04/18 09:44:51 PM | layer[0]	loss_knn:9.078281	loss_kmeans:9.078281	loss_random:9.078281
04/18 09:44:52 PM | layer[1]	loss_knn:9.080780	loss_kmeans:9.080780	loss_random:9.080780
04/18 09:44:53 PM | layer[2]	loss_knn:9.025153	loss_kmeans:9.025153	loss_random:9.025154
04/18 09:44:55 PM | layer[3]	loss_knn:9.038795	loss_kmeans:9.038795	loss_random:9.038795
04/18 09:48:42 PM | layer[0]	loss_knn:192.007584	loss_kmeans:192.007584	loss_random:192.007584
04/18 09:48:42 PM | layer[1]	loss_knn:192.014099	loss_kmeans:192.014099	loss_random:192.014099
04/18 09:48:55 PM | layer[0]	loss_knn:254.697418	loss_kmeans:353.205231	loss_random:326.870270
04/18 09:48:56 PM | layer[1]	loss_knn:306.349121	loss_kmeans:391.611908	loss_random:367.015839
04/18 09:48:57 PM | layer[2]	loss_knn:589.558533	loss_kmeans:638.657837	loss_random:646.852722
04/18 09:48:59 PM | layer[3]	loss_knn:688.864258	loss_kmeans:744.375610	loss_random:753.721191
04/18 09:49:04 PM | layer[4]	loss_knn:1167.497070	loss_kmeans:1350.022949	loss_random:1270.099731
04/18 09:49:13 PM | layer[5]	loss_knn:1212.371094	loss_kmeans:1350.105225	loss_random:1297.215454
04/18 09:49:21 PM | layer[6]	loss_knn:1138.603882	loss_kmeans:1284.829590	loss_random:1210.241333
04/18 09:49:54 PM | layer[7]	loss_knn:1797.408569	loss_kmeans:1895.350220	loss_random:1846.531006
04/18 09:50:45 PM | layer[8]	loss_knn:1721.538940	loss_kmeans:1774.130005	loss_random:1753.613647
04/18 09:52:15 PM | layer[0]	loss_knn:132.915878	loss_kmeans:42.362770	loss_random:41.907661
04/18 09:52:15 PM | layer[1]	loss_knn:142.738464	loss_kmeans:67.962402	loss_random:103.665337
04/18 09:52:17 PM | layer[2]	loss_knn:305.405121	loss_kmeans:223.170181	loss_random:270.680237
04/18 09:52:18 PM | layer[3]	loss_knn:306.028076	loss_kmeans:214.344986	loss_random:258.246460
04/18 09:52:24 PM | layer[4]	loss_knn:646.755005	loss_kmeans:540.768555	loss_random:558.124878
04/18 09:52:32 PM | layer[5]	loss_knn:665.949280	loss_kmeans:539.324219	loss_random:590.261414
04/18 09:53:44 PM | layer[0]	loss_knn:192.007584	loss_kmeans:192.007584	loss_random:192.007584
04/18 09:53:44 PM | layer[1]	loss_knn:192.014099	loss_kmeans:192.014099	loss_random:192.014099
04/18 09:53:46 PM | layer[2]	loss_knn:384.000000	loss_kmeans:384.000000	loss_random:384.000000
04/18 09:53:48 PM | layer[3]	loss_knn:384.000000	loss_kmeans:384.000000	loss_random:384.000000
04/18 09:53:55 PM | layer[4]	loss_knn:768.000000	loss_kmeans:768.000000	loss_random:768.000000
04/18 09:54:33 PM | layer[0]	loss_knn:9.078281	loss_kmeans:9.078281	loss_random:9.078281
04/18 09:54:33 PM | layer[1]	loss_knn:9.080780	loss_kmeans:9.080780	loss_random:9.080780
04/18 09:54:35 PM | layer[2]	loss_knn:9.025153	loss_kmeans:9.025153	loss_random:9.025153
04/18 09:54:37 PM | layer[3]	loss_knn:9.038795	loss_kmeans:9.038795	loss_random:9.038795
04/18 09:55:01 PM | layer[0]	loss_knn:9.078281	loss_kmeans:9.078281	loss_random:9.078281
04/18 09:55:02 PM | layer[1]	loss_knn:9.080780	loss_kmeans:9.080780	loss_random:9.080780
04/18 09:55:03 PM | layer[2]	loss_knn:9.025153	loss_kmeans:9.025153	loss_random:9.025153
04/18 09:55:11 PM | layer[0]	loss_knn:3.013019	loss_kmeans:3.013019	loss_random:3.013019
04/18 09:55:11 PM | layer[1]	loss_knn:3.013433	loss_kmeans:3.013433	loss_random:3.013433
04/18 09:55:13 PM | layer[2]	loss_knn:3.004189	loss_kmeans:3.004189	loss_random:3.004189
04/18 09:55:15 PM | layer[3]	loss_knn:3.006459	loss_kmeans:3.006459	loss_random:3.006459
04/18 09:56:13 PM | layer[0]	loss_knn:1.078281	loss_kmeans:1.078281	loss_random:1.078281
04/18 09:56:13 PM | layer[1]	loss_knn:1.080780	loss_kmeans:1.080780	loss_random:1.080780
04/18 09:56:15 PM | layer[2]	loss_knn:1.025154	loss_kmeans:1.025154	loss_random:1.025154
04/18 09:56:17 PM | layer[3]	loss_knn:1.038794	loss_kmeans:1.038794	loss_random:1.038794
04/18 09:57:50 PM | layer[0]	loss_knn:0.895219	loss_kmeans:0.807344	loss_random:0.844360
04/18 09:57:51 PM | layer[1]	loss_knn:0.852063	loss_kmeans:0.775674	loss_random:0.792527
04/18 09:57:52 PM | layer[2]	loss_knn:0.914186	loss_kmeans:0.902028	loss_random:0.902392
04/18 09:57:53 PM | layer[3]	loss_knn:0.904259	loss_kmeans:0.891270	loss_random:0.889780
04/18 09:58:06 PM | layer[0]	loss_knn:1.006691	loss_kmeans:1.057791	loss_random:1.058365
